id,text,expert label
1508,you should update the firmware before upgrading the drivers if you decide you need the newer drivers for the pc.,1
1535,this is not the unit you should use if you go jogging anyway .,1
1538,get better headphones .,1
1539,"rip your tunes at 192kb if you like , alhthough 128kb sounds just dandy , and you 'll get more tunes stored on it .",1
1567,the dial on the original zen was perfect and i wish it was on this model .,1
1575,if you have always on internet or are logged into the internet you can use the feature that will download the album & song id information ( this is a free service ) with the click of a button .,1
1578,just highlight the songs you want to transfer from your playlist or music library then click one button and it 's done !,1
1587,"i can highly recommend this product because of its ease of use ( hardware and software ) , playback quality and value for the price .",1
1608,"needless to say , i would n't recommend anyone purchasing this product .",1
1614,"if you arent hooked up to cddb to get the album info i guess you have to manually input the stuff , but that little work will save you looking for songs .",1
1625,"you are better off deleting it , re-ripping it with the new title and then transferring it to the player .",1
1638,"buy the re-seller 's extended warranty and save yourself a headache for the problems you will have later , after all it is a hard drive and it will die or have issues over time ( probably sooner than later ) .",1
1641,the interface used could be better designed .,1
1676,"if you purchase this product , definitely rip your songs through windows media player .",1
1688,features that would have been nice :,1
1693,a short range fm transmitter would be much nicer .,1
1695,do n't drop this unit :,1
1702,if you are going to need a player that is rugged this may not be the one for you .,1
1707,i would recommend doing the upgrade to be sure you have the best chance at trouble free operation .,1
1712,"for those out there that are not familiar with mp3 encoding , you can encode your cd 's at varying quality levels .",1
1716,you should consider this when deciding what bit rate you want to use and how much you want to put on the player .,1
1717,"if you 're someone who wants to put 10,000 songs on this thing you may want to encode at the lower end ( typically 128 is considered close to cd quality ).",1
1728,"it 's not the end of the world , but a better design sure would be nice .",1
1769,"transfer files is easy using notmad , however again , would be great if nomad supported folders like iriver , rca lyra and some other .",1
1771,"artist , album and genre are only mp3 tags which are supported buy this player , and if you have 100 artists would be good to have another subcategory .",1
1777,dont let the bad reviews of the software change your mind .,1
1795,"so far i have no complaints and i recommend this to anyone who wants quality over appearance , also anyone who wants a harddrive based mp3 player and wants to pay next to nothing .",1
1799,"thank you very much , and go out and get yourself a nomad !",1
1812,"do n't waste your time , engery , resources on this thing , just spend a little more for a far more functional ipod .",1
1820,do n't buy this thing .,1
1827,"overall , this player is awesome and i definately recommend it .",1
1838,"btw , be sure to have your mp3 tags labled correctly , as this will ensure a great organization .",1
1849,"the headphone earbuds are average , so just use your regular pair instead .",1
1852,"i would recommend this player to anyone i know , and you will not be dissapointed .",1
1877,"for prospective buyers , i would warn of the following : 1 ) purchase a better pair of headphones as soon as possible , as earbuds sound terrible and are terribly uncomfortable ( this applies to earbuds in general , ) and 2 ) make sure that your mp3s have id3 tags on them , that when when they are loaded into the playlist they will automatically sort themselves .",1
1878,"if you want great sound quality , do n't want to spend an arm and a leg per-gigabyte , do n't mind being something of an iconoclast among many ipod users , and are willing to sacrifice a few cubic centimeters of your personal space for a large discount , then i would suggest the zen xtra for you .",1
1879,read the instuctions - do not plug the zen into your computer until you have installed all the software onto your computer and rebooted it ! !,1
1887,"yeah i agree the earbuds are pretty crap , replace them .",1
1897,1 ) a spare battery would have been great .,1
1904,"transfer through windows explorer - windows recognizes the jukebox as an additional hard disk , so it allows you to simply drag and drop files from windows explorer to a folder for the nomad .",1
1907,"you have to install the software to the computer you 're transferring to , instead of just connecting it with a usb connection .",1
1920,it would have been much easier to use a windows explorer style navigation system .,1
1926,cheap construction - they should have made the player out of hard plastic and put some rubber on the corners .,1
1929,"as a portable player , it should feel a bit more durable .",1
1943,"i would recommend replacing the existing software with the  notmad explorer ,  which is simpler to use and can be found on the internet .",1
1952,a sliding old fashioned volume knob would also have been easier than the digital version that was included .,1
1953,"i want to have instant access to the volume , not have to hold down a button and have to wait a half second for the player to register it .",1
1960,i would much more have preferred a keypad-type navigator like found on dvd remotes .,1
1961,"up , down , left , and right would have given me better control .",1
1964,"it would have been much nicer if it had a window so you could see the screen , and if the button did n't cover up the ac jack .",1
1967,you can cut up the case a bit with an xacto knife and make it useable though .,1
1985,"buy this for the storage and price , avoid it if you know nothing about computers .",1
2002,"if you have the money and need 40 gb , this is the player for you .",1
2004,i would recommend this product to anyone .,1
2011,"the battery lasts very long when playing music , but writing files to the player drains the battery fast , so you need to have it plugged into an outlet when sending files .",1
2048,well surely this is a product that i recommend someone in getting rather than any other mp3 player ( at that size and the price ) .,1
2059,"from there , you transfer files from your computer to the mp3 player ( with the help of the media sniffer .. . read the manual ).",1
2075,buy new ones asap. every time you move your face or something they pop out .,1
2076,"for a 250 dollar player , they could have thrown in nice headphones .",1
2077,a remote would have been cool too ... but lets not push it .,1
2082,so all you do is stick a pin or something small in the reset button & you 're golden .,1
2083,"also , you can store data on it , which is a plus. for all you people who want to buy an ipod just to say you have an ipod , do n't bother , this is a much better buy .",1
2102,but for someone who cares about thier music collection and wants fluid and responsive playback .. . i can 't recommend this product .,1
2107,"also , there is the need to send the ipod to replace the batteries when they die ( which they will ).",1
2125,"you can change any of these , but need to be paying attention when the information is downloaded before you copy it .",1
2133,the way to fix this is to rename the track by adding a number yourself to the end of the track listing .,1
2138,"you need your computer , however , if you want to add tracks to a playlist .",1
2154,"if the hard drive on your computer should fail , better have your music backed up somewhere or its gone !",1
2187,as mentioned in other reviews the headphones are useless and need to be replaced right away !,1
2208,so consider what you 're going to use the device for .,1
2209,"if you 're a jogger and you want to strap it to your arm , i 'd recommend flash memory .",1
2210,"if you want to listen to tunes while you travel , i 'd get a hard drive because you can put so much on the thing - including audio books .",1
2221,you can even skip that step and rip them directly from the cd to the player .,1
2236,"if you are out for an mp3 player with a lot of memory and do not want to spend a ton of money , i think this is a great purchase and strongly recommend it .",1
2243,but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything .,1
2301,"before jumping on the ipod train , take a look at this marvel .",1
2314,"if you buy a creative mp3 player , be sure to get the optional extended warranty .",1
2315,"or better yet , buy from another company that stands behind their products with a 12-month warranty .",1
2326,point the  media sniffer  to your music files and let it do the rest .,1
2332,"they could be more comfortable , but no complaints in the sound department .",1
2340,"it would have been better to have some sort of window on teh carrying case , so you could see the display without opening it .",1
2363,do not underestimate this in your purchase decision .,1
2364,many reviewers refer to it as  clunky  or  difficult  - heed their warnings .,1
2366,"i did n't use it long enough to know , but clearly you need to use it with caution .",1
2375,if you are buying a zen xtra check whether the battery recharges via usb ; it does not on the zen nx .,1
2389,"notmad has other features too , but this is not an advertisement so please see the company 's web site for more information ...",1
2406,my one recommendation to creative is to get some marketing people to work on the names of these things .,1
2432,i cannot recommend it enough ! !,1
2439,"do n't be pulled in by the great price -- you get what you pay for , and there 's a reason this model is so cheap .",1
2505,the workaround is to update id3 tags on your files ( through mediasource ) but it can be a hassle if you have many such music files .,1
2506,4 ) no fm or voice recording - these would have been nice extras .,1
2507,5 ) lack of good accessories - this is more of an oversight of creative 's marketing .,1
2511,i would have liked to be able to see what is playing without having to open the case .,1
2517,1 ) buy an extended coverage if offered by the retailer as this device has moving parts and is essentially a portable hard-drive .,1
2518,2 ) buy a good pair of head-phones unless you already own one .,1
2519,3 ) use files with id3 tags - not a problem if your cds were ripped within the last year .,1
2554,wish it included somebody to re-rip all the songs .,1
2580,"connect the player to your computer ( via usb ) , open up mediasource , and you can listen to your stored mp3s as they stream directly from the xtra !",1
2581,"get those mp3s off your hard drive , save space , and enjoy your massive music library .",1
2589,"i would recommend against using id3v2 tags , and stick with id3v1 only .",1
2595,get one now !,1
2623,"at the very least , a sturdier more protective carrying case would be nice .",1
2631,"if your view in life is that you are going to pay $ x00 to get a device then it must be near ideal - ruggedly constructed , fault proof , good product support , easy to use software - then do yourself a favor and do n't buy yet .",1
2632,all the products have drawbacks and are not mature yet ; if you expect value and reliability then wait a while .,1
2633,"if you are ok paying $ x00 for something that can be used now , but is likely to both get better and cost less in the future then try to determine which device is the lesser of evils for you .",1
2642,"synchronizing music among computers , if you have more than one , seems to be an issue ; research this before buying if you have multiple computers you want to be synchronized .",1
2663,"if you plan to carry the device around ( it is a mobile device , right ? ) then this is something you might want to think about .",1
2679,if you have the appetite choose the one that you think has the least deficiencies or is best suited to you .,1
2681,"if that is for you then pay the money , learn from the experience and you 'll be a more informed buyer when you buy device # 2 .",1
2682,"if you are n't into paying $ x00 to learn and experiment , or the cons outweigh the pros , then wait a year or so .",1
2692,"if you want a quality mp3 player , splurge on an ipod .",1
2693,"if you really need to save , buy this thing on amazon , they eventually gave me a full refund .",1
2697,here 's something you have to know before you considering about buying this one .,1
2718,"if you are planning to buy that player , do not !",1
2730,"if you use software correctly , put in all the id3 tags , you will get an awesome database collection , from which you can easily access your songs .",1
2765,"try before you buy if at all possible : although i am a mac addict now for over a decade and everyone i know has previously bought an ipod , the nomad zen xtra was a far better value and is just as easy to use with regards to both hardware and software interface .",1
2770,"my advice to mp3 buyers : consider how much storage space you will need , then try and listen before you buy -- mp3 players can only fully evaluated by holding and listening to them .",1
2818,please consider this much superior piece of equipment before plopping down half a grand for an ipod .,1
2819,do n't buy this player .,1
2823,do n't buy this player .,1
2824,do not buy this product --,1
2887,"whatever you do , do n't buy this product .",1
2903,"so rule of thumb , no matter what you end up buying , get the extended warranty !",1
2915,i enthusiastically recommend this camera .,1
2942,be very careful when the battery is low and make sure to carry extra batteries .,1
2946,would be really good if they have given an option to stop this autofocussing .,1
2989,try to buy a tripod and that should solve some of those problems .,1
2990,"whichever camera you buy , add upto about 200 dollars for an additional memory card i bought a 256 mb card , usb card reader , camera bag and the warranty .",1
2991,"and finally , get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness .",1
3006,"i highly recommend the accessory kit , which provides you with everything else you need :",1
3030,i definately recommend a large memory card .,1
3033,"battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have .",1
3057,"i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do .",1
3066,100 % perfect if you put some thought and time into reading the manual before you take the photos .,1
3074,"if you have to buy a camera on a buget, this has got to be the one .",1
3075,go get it .,1
3098,"so , it 's a good idea to purchase an extra battery to insure that you are not left hanging .",1
3115,"do n't waste time looking at anything else , just buy this one .",1
3121,"try to buy a high capacity ultra card , as it 's 2x as faster as the regular cf card .",1
3122,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money .",1
3124,use the rechargeable because that saves you money and helps the environment in a long run .,1
3129,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate .,1
3143,an extra for a back-up battery would be a good investment .,1
3148,"in summary , i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range .",1
3171,i would also recommend buying an extra battery and at least a 128 mb compact flash type i memory card .,1
3181,buy an extra battery - life is good but still somewhat short .,1
3182,do n't buy this camera if you are not going to purchase a 128 megabyte card .,1
3185,read the directions !,1
3188,i wish the camera had a higher optical zoom so that i could take better wildlife photos .,1
3190,"buy this camera , you wo n't regret it .",1
3191,"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 !",1
3198,"if you 're seeking that elusive state of photographic euphoria that is free of buyer 's remorse and filled with cool , then travel to the world of the coolpix 4300 !",1
3207,"if you have windows me you should upgrade to xp anyway , lol .",1
3219,a card with more memory is a must .,1
3254,just double check with customer service to ensure the number provided by amazon is for the city / exchange you wanted .,1
3261,"the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it .",1
3314,i highly recommend a nokia 6610 .,1
3338,i do hope that they offer more faceplate options .,1
3392,"if you decide to go to another country for an extended period of time , you can just buy a sim card from a service provider in that country .",1
3404,"overall , i highly recommend this phone .",1
3410,"surfing the web on it is nice as well , i just wish there were more wap pages available .",1
3467,only if we could get one camera in it . .,1
3522,"they are all free if you get a new account anyway , but stick to t-mobile if you are going to use your phone overseas because t-mobile actually allows you to unlock your simm cards so that you can buy simm cards cheap from other nations and plug into your phone when you are doing some international travelling .",1
3528,here 's a hint : go to nokia.com and get their pc suite and a connection cable if you dont have irda or bluetooth .,1
3553,"so , i recomend it , but not for those that have any hearing troubles , or for those that like to talk a lot in crowded public places ( which is annoying , by the way . )",1
3565,i highly recommend this phone to anyone .,1
3580,"if you buy the stereo headset , you will enjoy it much more .",1
3592,"i can recommend this phone to anyone , anytime .",1
3637,bluetooth functionality would have made the phone even better .,1
3651,"this is probably your best bet if you are looking for a phone in this price range , or like me , do not have the patience to deal with annoying flip phones .",1
3669,for those that are looking for camera phones just get the camera attachement and comes with the stereo headphones to listen to the radio in style .,1
3675,if you thought about getting this phone buy it .,1
3680,using the gprs option you can pay 19.99 extra a month and have unlimited internet access added to you account .,1
3713,"if you can get this phone for cingular or at&t , go with the other carriers .",1
3746,the phone would have received 5 stars if the phone had voice dialing and the game downloads from t-zones worked .,1
3747,this phone is highly recommended otherwise .,1
3750,the one huge disappointment is that the phones manufactured for t-mobile lack many of the menus and functions that a nokia straight from the manufacturer should have .,1
3756,"bottom line , if you 're attracted to this phone because of its tri-band feature so you can take it abroad , forget it .",1
3757,"find another phone , or buy this one in its manufacturer-unlocked form .",1
3767,go for it ...,1
3771,i do recommend getting the data kit for those geeks .,1
3773,my only suggestion is to get a lens protector to help protect the shooting lens ( the lens coating will wear out after so many clean wipes ) and i 'm getting the those ( 52 mm adapter and uv lens filter ) at lensmateonline.com .,1
3774,"if you want a quality mp3 player , splurge on an ipod .",1
3776,"i can highly recommend this product because of its ease of use ( hardware and software ) , playback quality and value for the price .",1
3778,"6 . the zen nx battery requires the ac adapter to recharge ; it does not charge by usb cable ; this is not tragic , but usb recharging would be a convenient ( additional ) choice .",1
3779,i would much more have preferred a keypad-type navigator like found on dvd remotes .,1
