id,text,expert label
berlin-hotel-191437-review-4.json_11,"Bottom line: pick another hotel, the Starwood Group has a white elephant on their hands with this smelly grand hotel.",1
berlin-hotel-191437-review-8.json_5,so I really highly recommend.,1
berlin-hotel-191438-review-11.json_0,Hilton - stay on executive floor (great lounge) get a room overlooking the Gendarmenmarkt (beautiful day and night).,1
berlin-hotel-191438-review-12.json_13,"Anyone looking for something a little bit special should look elsewhere,",1
berlin-hotel-191438-review-7.json_3,You may be well advised to try another address...,1
berlin-hotel-198701-review-2.json_10,"Another comfortable chair in the room, there's one, would be a plus We only ate one breakfast here because we slept in, but its a bit expensive.",1
berlin-hotel-198701-review-4.json_2,but most bathrooms are in urgent need of remodelling (the existing ones are dating back to the 60s!).,1
berlin-hotel-198701-review-4.json_8,it is better to avoid the bar.,1
berlin-hotel-198701-review-4.json_9,They do serve drinks upon request in the lobby and you better ask them to do so.,1
berlin-hotel-198701-review-5.json_9,but a bit pricey 19euros since you can have a decent breakfest in any Kaffee in Berlin.,1
berlin-hotel-198701-review-5.json_10,I do recommand Kaffee Einstein.,1
berlin-hotel-198701-review-6.json_0,"If you're a non-smoker, don't stay here!",1
berlin-hotel-198701-review-6.json_8,The rooms need a re-do.,1
berlin-hotel-199395-review-3.json_17,You must use these or risk breaking your leg.,1
berlin-hotel-199395-review-3.json_21,YOu do have to shop around on the newt to get best deal.,1
berlin-hotel-199395-review-3.json_35,Definitely avoid travelling by Easyjet at weekend late evenings!,1
berlin-hotel-199395-review-3.json_41,One more thing- if you want to visit the Bundestag it is a good idea to book a tour (in english) in advance.,1
berlin-hotel-199395-review-4.json_0,Stayed here for a conference and would not advise it for people with other options.,1
berlin-hotel-199395-review-4.json_6,"The location is okay for but for better restaurants and sight-seeing, stay closer to Postdamer Platz or Mitte.",1
berlin-hotel-199395-review-6.json_0,If you go to this hotel don`t book a standard room.,1
berlin-hotel-199395-review-6.json_2,but the bathroom was tired and in need of refurbishment.,1
berlin-hotel-199395-review-6.json_7,I would not recommend this hotel.,1
berlin-hotel-199395-review-7.json_4,"Whilst the room was indeed large, clean and functional it lacked the finishing touches that one expects from 5-star accommodation.",1
berlin-hotel-199395-review-7.json_14,"The Restaurants in the hotel are okay, though if not eating in the hotel I would advise you to look further a field as the restaurants/cafê__©_ê£_s close by are not particularly good.",1
berlin-hotel-199395-review-7.json_20,"For those looking for things to do whilst in Berlin, I would highly recommend the walking tours offered by Original Berlin Walks (Discover Berlin) and Sandemans New Berlin (Red Berlin Tour and the Free Tour).",1
berlin-hotel-199397-review-1.json_12,"I would not recommend staying here,",1
berlin-hotel-199397-review-2.json_0,The room - on the executive floor - could have used a good dusting.,1
berlin-hotel-199397-review-3.json_21,Be sure to pick up an umbrella (for free) at the concierge if you anticipate rain while sightseeing.,1
berlin-hotel-199420-review-1.json_14,you can go buy your own water and snacks.,1
berlin-hotel-199420-review-1.json_21,"you might want to bring ear plugs to protect you from your neighbor's late-night television, discussions, etc. I stayed there for business and then a few days being a tourist.",1
berlin-hotel-199420-review-1.json_22,"The only warning I have to offer is if you want to sleep past 8 AM, make sure you hang the do not disturb sign on your door.",1
berlin-hotel-199430-review-1.json_26,This makes me not want to recommend this hotel.,1
berlin-hotel-199430-review-11.json_4,I would strongly reccomend this hotel and would have no hesitation in staying there again.,1
berlin-hotel-199430-review-13.json_8,but eventually need renovating.,1
berlin-hotel-199430-review-2.json_0,Please read this before before booking your break away in this hotel.,1
berlin-hotel-199430-review-2.json_41,"So, if you are not looking for service, unfriendly staff, basic facilities then I recommend you book this place!",1
berlin-hotel-199430-review-2.json_42,"Please do not be fooled by the pictures on the internet - If you book this hotel, please expect an 'Allocation on Arrival' service as you will have no idea where you will be placed.",1
berlin-hotel-199430-review-5.json_1,The hotel is very tired and is in desperate need of a refurb.,1
berlin-hotel-199430-review-5.json_4,"When we booked the room the description on the website said it came with a separate seating area, despite raising the issue with reception we were basically told this was not so , I guess someone needs to amend the website.",1
berlin-hotel-199430-review-6.json_12,Berlin is a top city and highly recommended for New Year!,1
berlin-hotel-199430-review-6.json_13,Try out a trabi safari - it is great fun - especially in 3ft of snow in a car with no heating......................,1
berlin-hotel-199430-review-7.json_12,but the whole place is in serious need of a refurbishment.,1
berlin-hotel-199430-review-7.json_17,Beware of smoking areas for people having breakfast that are very close to non-smoking.,1
berlin-hotel-199430-review-8.json_20,If you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have a third old building across the street which is a little more convenient than having to drag luggage three long blocks,1
berlin-hotel-200437-review-1.json_10,if you're looking for a high end hotel i suggest you go somewhere else.,1
berlin-hotel-200437-review-3.json_6,Especially good for shopping on the Kurfustendamm...bring an extra bag!!,1
berlin-hotel-200437-review-4.json_15,I would not recommend the restaurant either the food in not good quality,1
berlin-hotel-200437-review-7.json_12,This hotel is badly in need of a manager who knows what is going on in the place.,1
berlin-hotel-202450-review-1.json_23,"Negatives: Bed (if you are used to Sofitel beds from around there world don't stay here), bedding (old polyester), house keeping (on both morning the room was not properly cleaned and coffee and toiletry supplies were not replenished; the room was also not very clean with huge stains on the curtains), in room equipment (if you love 70s retro you will love the TV in the room).",1
berlin-hotel-202450-review-1.json_24,"This hotel should not be allowed to call itself a Sofitel as the rooms are well below standard, the staff however are right up there.",1
berlin-hotel-202450-review-2.json_7,you really want a room at the back of the hotel rather than at the front.,1
berlin-hotel-202459-review-10.json_3,I do wish that the staff were more accomodating.,1
berlin-hotel-202459-review-3.json_15,If you prefer an outside room ask for one on an upper floor facing towards Berlin Catherdral only some 100 yards away.,1
berlin-hotel-202459-review-7.json_10,and they should send the staff on a training course in customer relations.,1
berlin-hotel-202654-review-1.json_7,Try and find a web deal (I booked via Hotel[-]): during Summer rooms can be booked for as low as 59 euro (and that includes breakfast).,1
berlin-hotel-228377-review-6.json_5,I would advise getting an inclusive deal or eating at one of the many local cafes which offered breakfast for a third of the price.,1
berlin-hotel-228377-review-7.json_13,I most warn everybody to avoid this hotel.,1
berlin-hotel-228395-review-1.json_5,I really advice the hotel,1
berlin-hotel-228395-review-2.json_9,but some of the staff behind reception need a few lessons in customer service (ie.,1
berlin-hotel-228395-review-2.json_10,a smile or even some acknowledgment when handing in keys wouldn't go amiss).,1
berlin-hotel-228395-review-2.json_38,but for those on a budget and do not mind relinquishing some comforts then this hotel is fine.,1
berlin-hotel-228395-review-3.json_28,I would NOT recommend this hotel to anyone I liked.,1
berlin-hotel-228395-review-3.json_35,If you are STILL temped to stay at this place: TAKE VERY GOOD EAR PLUGS.,1
berlin-hotel-228395-review-3.json_39,DON'T EXPECT ANYTHING AND YOU WON'T BE DISAPPOINTED!!!!,1
berlin-hotel-228395-review-6.json_32,and in my oppinion a hostel would be better than wasting your money on a somewhat dodgy three stars.,1
berlin-hotel-252106-review-10.json_6,"If you are a espresso lover, well this is for you.",1
berlin-hotel-279742-review-6.json_13,But given the price I would recommend this one unreservedly.,1
berlin-hotel-502108-review-2.json_9,The hotel should give a password out to guests that check-in or at least program a time-out to avoid this frustrating situation.,1
berlin-hotel-559593-review-3.json_10,"for the standard they boast, you are better off staying in a lesser star establishment where you will get better service.",1
berlin-hotel-589462-review-2.json_7,"at bar called vang gogh the owner play piano.....try the dada falafel at oranien str, and cafe einstein.",1
seattle-hotel-100505-review-10.json_1,Just hope that you get there to get a room ahead of someone else!,1
seattle-hotel-100505-review-10.json_24,Beware: some rooms are very small and outdated,1
seattle-hotel-100505-review-10.json_29,My recommendation: Save your money!,1
seattle-hotel-100505-review-10.json_30,There are several better hotels nearby who appreciate your business and will work with you.,1
seattle-hotel-100505-review-10.json_32,Take my advise: spend your well earned money at King's Motel (1/2 block away) or at the Sheraton or Weston.,1
seattle-hotel-100505-review-12.json_8,"If you book a room, ask for a space needle view--I stayed on the 6th floor in a corner room and had a nice view.",1
seattle-hotel-100505-review-12.json_11,"If you don't mind walking, you are only a couple blocks from Westlake shopping center and a few blocks from Pike's Marketplace.",1
seattle-hotel-100505-review-12.json_16,I felt relaxed and comfortable there--I recommend it.,1
seattle-hotel-100505-review-13.json_2,"and we had a balcony and a great view of the Space Needle (I'd recommend asking for a space needle view, if you book).",1
seattle-hotel-100505-review-14.json_8,though you need to check the sheets before crawling into bed.,1
seattle-hotel-100505-review-14.json_24,"If you're going to Seattle, look hard at spending a little extra for another hotel - and you'll probably even end up right in the center of downtown.",1
seattle-hotel-100505-review-15.json_12,The point is - don't advertise the service if there are caveats that go with it.,1
seattle-hotel-100505-review-18.json_7,Parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars).,1
seattle-hotel-100505-review-19.json_8,"Overall, I would not recommend this hotel.",1
seattle-hotel-100505-review-2.json_11,although the marble in the bathrooms could have used a thorough cleaning as they had dirt and rust stains.,1
seattle-hotel-100505-review-2.json_13,This hotel is good if you are just looking to catch some sleep,1
seattle-hotel-100505-review-2.json_15,If you want to soak in the hot-tub or swim in the pool at the end of a long day look for other accommodations.,1
seattle-hotel-100505-review-21.json_7,"As other reviewers have mentioned, however, street noise is a factor to be considered.",1
seattle-hotel-100505-review-21.json_11,"Most importantly, if you are planning to use the wi-fi internet access, BEWARE.",1
seattle-hotel-100505-review-21.json_15,"Bottom line, if internet access is a factor, stay elsewhere.",1
seattle-hotel-100505-review-24.json_18,This is not a hotel I can recommend for any type of group.,1
seattle-hotel-100505-review-26.json_8,"If this is your preference, be advised that the balconies are barely wide enough to fit a human.",1
seattle-hotel-100505-review-26.json_11,"Smokers beware: the hotel only has a few smoking rooms, all located on the second floor.",1
seattle-hotel-100505-review-26.json_46,"However, if you avoid the second floor rooms and don't mind a little construction noise,",1
seattle-hotel-100505-review-29.json_8,Go somewhere with better service.,1
seattle-hotel-100505-review-3.json_23,"It wasn't just us, so beware, if you book at the Warwick, you will eventually get a beautiful room hopefully, but may need to deal with some not-so-nice staff to get it.",1
seattle-hotel-100505-review-30.json_3,but we could never figure out how that worked (do some research before you go!!).,1
seattle-hotel-100505-review-30.json_20,but for a really great breakfast walk a block to the Mayflower Park Hotel (pricey but fabulous).,1
seattle-hotel-100505-review-4.json_8,"I would recommend the Warwick to someone looking for a reasonable priced hotel,",1
seattle-hotel-100505-review-4.json_9,but don't expect too much.,1
seattle-hotel-100505-review-5.json_17,"Beware, if you use the Grayline for transportation, allow plenty of time, as they ran up to an hour late.",1
seattle-hotel-100505-review-7.json_7,"However, there is a good advantage to this hotel if you have a car.",1
seattle-hotel-100505-review-7.json_8,You can park your car yourself and save money doing without valet service.,1
seattle-hotel-100505-review-8.json_4,Parking was expensive and there was no elevator in the parkade so if you have any mobility problems you need to use the valet parking.,1
seattle-hotel-100544-review-1.json_9,Suggestions: Woodland Park Zoo (fantastic and worth the 10 minute bus drive out of downtown); Anthony's Pier 66 (excellent seafood restaurant on the waterfront) Enjoy your stay at the Moore!,1
seattle-hotel-100544-review-10.json_8,Rooms do not appear to have any functioning heating or built in fan/cooler/heaters which is a bit of a drawback depending on when you visit.,1
seattle-hotel-100544-review-10.json_13,Travellers considering staying at the mediocre Hostelling International Seattle should seriously consider staying at the Moore instead.,1
seattle-hotel-100544-review-10.json_15,and the price virtually the same if you were considering a private room at HI.,1
seattle-hotel-100544-review-13.json_16,Request a 6th or 7th floor room facing the water and you'll enjoy a view that most visitors pay through the nose for.,1
seattle-hotel-100544-review-13.json_17,"Walk to Pike Place in the morning, shopping at Pioneer Square in the afternoon, visit nearby Belltown at night.",1
seattle-hotel-100544-review-13.json_18,Walk everywhere.,1
seattle-hotel-100544-review-13.json_19,They'll hold your luggage for you either before your check-in time or after you've checked out but have a few hours to kill before catching your flight.,1
seattle-hotel-100544-review-13.json_20,"Visiting the convention center - it's less than 10 minutes walk, grab coffee at the French Bakery at Pike's Place before you head into convention hell.",1
seattle-hotel-100544-review-13.json_22,there are two lots on either side of the hotel or try the Bon/Macy's parking lot for something a bit cheaper.,1
seattle-hotel-100544-review-13.json_23,"Oh, and they like to keep your key at the front desk - there is only ONE KEY available per room, so if you're sharing with someone but have different itineraries, make a habit of dropping the key off at the front desk.",1
seattle-hotel-100544-review-14.json_19,Give this place a go - just catch up on sleepbefore you do.,1
seattle-hotel-100544-review-17.json_9,so you don't have to walk if you don't want to.,1
seattle-hotel-100544-review-18.json_13,5h on  a platform to look down  Really: NOT TO DO - the bar in the Moore: rough.,1
seattle-hotel-100544-review-21.json_15,"My suggestion to anyone considering the Moore: If you want the low price, stay outside of DT since you will have to pay for parking anyways, or break the bank and stay at a nicer place!",1
seattle-hotel-100544-review-24.json_3,and I've got to say that it was in desperate need of an update (and I'm not picky).,1
seattle-hotel-100544-review-4.json_0,Make no mistake - the Moore is pretty much a dump.,1
seattle-hotel-100562-review-10.json_0,Be careful of the room type if you are more than one person.,1
seattle-hotel-100562-review-14.json_3,You can catch the monorail a block from the hotel if you want to visit the Seattle Center.,1
seattle-hotel-100562-review-14.json_9,Just make sure you stay in the remodeled section.,1
seattle-hotel-100562-review-20.json_15,I'd suggest staying away from the in hotel restaurant.,1
seattle-hotel-100562-review-20.json_19,"My suggestion would be to have a donut and coffee for breakfast, you're in Seattle after all!",1
seattle-hotel-100562-review-21.json_0,"Park across the street, $6 for 24hrs on weekends, $35+ at the hotel.",1
seattle-hotel-100562-review-23.json_15,"What respectable hotel, especially one with such expensive rooms, would have the gall to also charge lodging for their guests' cars?",1
seattle-hotel-100562-review-23.json_16,"For what we paid for those rooms, they should have been courteous enough not to ream us on parking.",1
seattle-hotel-100562-review-26.json_22,One small note -- there is a great Vietnamese restaurant around the corner called Bambuza -- don't miss it!,1
seattle-hotel-100562-review-29.json_0,Be careful with this hotel.,1
seattle-hotel-100562-review-29.json_17,"Whatever you do, don't stay at this hotel.",1
seattle-hotel-100562-review-29.json_20,Avoid this hotel!,1
seattle-hotel-100562-review-30.json_15,"So, we would recommend this property if you are happy with 3-star hotels or lower.",1
seattle-hotel-100562-review-35.json_0,Absolutely don't stay at this hotel if you're driving.,1
seattle-hotel-100562-review-40.json_15,"Food in over cooked, at least the water in cafe was drinkable, and don't be fooled by there complimentary newspaper, if you read the sticker the put on it you will see that you will be charged for it to $$$$.",1
seattle-hotel-100562-review-43.json_7,and if you wanted to take a long stroll you could even walk to the tower.,1
seattle-hotel-100562-review-47.json_9,Avoid the double decker Gray Line tour.,1
seattle-hotel-100562-review-7.json_7,I would definitely recommend this hotel.,1
seattle-hotel-100562-review-8.json_25,If you are flying in I would suggest not renting a car as down Seattle can get crazy  parking is expensive.,1
seattle-hotel-100562-review-9.json_5,Treadmills were in very bad need of repair.,1
seattle-hotel-100565-review-11.json_11,Would definitely recommend the hotel: we stayed a couple of nights at the W Seattle,1
seattle-hotel-100565-review-11.json_14,One thing: definitely try to get a high floored room away from the building works for the new skyscraper next floor.,1
seattle-hotel-100565-review-14.json_8,"For those who are taking a cruise out of Seattle , like us, plan an extra day or two prior to your leaving and stay at the Andra (about 3 minutes form the debarkation dock) to compliment your trip.",1
277882:54,Highly recommend it.,1
223041:120,We had a very pleasant stay and I would highly recommend anyone to stay there.,1
289202:55,"We will definately be returning, and recommending it to anyone we know is intending to visit Venice.",1
289202:55,"Almost forgot, it is even easier to find it when you arrive at Piazza Roma than the website says, and takes less than 10 minutes to walk even with a case.",1
192044:88,Ate dinner at Georgetown - highly recommended,1
1126079:52,"If you dont mind a 20 minute train ride to get into the city, this is the place to stay in Amsterdam.",1
1126079:52,"Meaning, dont expect your family of four to be comfortable in one room.",1
301619:7,"Top tip for frequent visitors is the Okura Club International which you can join for nothing and entitles bearers to free usage of the pool, showers and o-furo ,bath, which you would normally have to pay for.",1
301619:7,"If youre heading to Tokyo, whether its business or pleasure, I definitely recommend the Okura. 70s kitsch, crap Scottish bar - its all good.",1
81363:58,"None of them appeared to be a concierge per se and noone offered to make us dinner reservations when asked about restaurants, so expect to take care of these details on your own.",1
81363:58,If you prefer large corporate-style hotels this may not be the place for you.,1
100560:20,"I would stay here again on points of for business, but if it was my own money I might look around before booking it.",1
185401:29,"We recommend visiting the excavation of the Aztec pyramids next to the national cathedral, about a five minute walk from the hotel.",1
185401:29,"The driver can take you from place to place, for a reasonable price.",1
185401:29,This is much safer and far more convenient than hailing taxis from the street.,1
305813:192,You can also use the MTR which is 4 mins from the hotel.,1
305813:192,"You can also use the star ferry, pennies, on the Kowloon side which will drop you island side adjacent to harbour city mall which is a good spot to take the classic harbour panoramic photo.",1
224168:112,"It is in a great location for the Hollywood area, it is right next to a subway stop, but to get around in Los Angeles you will need a car.",1
224168:112,"So, be sure to tell them in advance if noise bothers you.",1
254575:468,"I can recommend a Turkish restaurant in Wilton Road called Mezze ,but book in advance if you want to have dinner there as its quite busy,.",1
89619:42,"So if you are checking in and they allocate room 1238, make sure you have your own mirror.",1
100581:9,The University Inn is a very good deal that I would recommend to our friends.,1
100581:9,Watch out where you park in Seattle.,1
228573:12,Stay elsewhere if at all possible.,1
87104:173,"Easy walk to the beach and the aquarium ,highly recommend.",1
290014:112,Bus #1 from the train station is most direct but #25 and #33 will get you there also.,1
119658:112,I would recommend the place to anyone on a budget as you get a clean room for the money but I dont think Id stay here again.,1
542696:0,Be careful snorkeling at Red Beach.,1
542696:0,I would not suggest doing this without fins unless you are VERY strong swimmer and even take caution with fins if you are a strong swimmer.,1
542696:0,"Note that if you plan to rent a car, many rental places have minimum 3 day rentals during high season.",1
542696:0,If you get there in the morning you can easily have 300 yds of sand to yourself.,1
188975:80,"And, if you are not wealthy, you should visit the cafe anyway.",1
249487:92,You can find specials and packages on their website..,1
85147:151,"Yay After 2 hours of dealing with the floor manager, Matthew Sims,If you ever have to deal with this man, go above him.",1
282300:82,"The roof top pool, ok is on the small side but the beach is only 5 minutes walk away if you need more water",1
282300:82,If I was to give one tip then take a taxi from the airport - we got the train and then the metro but had to make few changes along the way.,1
230112:52,"Also, a warning, be careful of what you sign up for as wireless internet.",1
230112:52,"Remember to buy water from the supermarket near Madame Tussauds, much cheaper than anywhere else.",1
281838:8,"However if you are travelling with a laptop they provide free internet in the rooms ,decent speed ~2mbps, ask at reception for pass code.",1
112328:43,I would highly reccommend a hotel called The Phoenix over this place.,1
301657:245,Be sure to get the larger room and have breakfast included as it is $25 if you pay.,1
301657:245,"If you want to feel the city vibes and eat close by at more authentic restaurants, dont stay here.",1
301657:245,"If you want out of the hustle more modern surroundings, this is your place.",1
277997:226,"Its a good 20 minute drive to the center of Scottsdale ,if youre looking to dine at one of the many fine dining spots in the Scottsdale area.",1
150841:372,Choose to go to the specialty resturants on other nights.,1
217386:77,"So, if you ever have a bad experience at this hotel and they promise you something, you better get it in writing because Joanna Turmo will not come to the phone.",1
259337:283,"I would recommend this place, but arm yourself with good information from people who have stayed there before.",1
259337:283,"On your way in, grab one of the oodles of people checking out and get their advice.",1
259337:283,I think the pitfalls I discuss below could be avoided if you know what youre up against from the outset.,1
259337:283,"No snorkeling right on the hotels beach ,too many waves and no reef,, so you have to book a separate excursion.",1
259337:283,"Tip: if you want a beach chair at the beach or pool, go there before 9am or so and put your magazine or towel on your chair.",1
85005:14,"The breakfast consisted of doughnuts and muffins, if you were quick enough.",1
85005:14,If you have a choice DONT STAY HERE.,1
249328:70,Reception has safe deposit box if you need it.,1
249328:70,Be careful not to wander into attic late at night though as carpet is very damp.,1
498233:81,All very good - only dont expect to be waited on .,1
498233:81,Cleanliness is not a priority in this area - so go with that in mind.,1
498233:81,New Orleans is a must for every American.,1
150841:55,Make your reservations as soon as you get there.,1
150841:55,Make sure you bring plenty of sun tan lotion-very expensive in the gift shop.,1
150841:55,"Also bring comfy shoes, ALOT of walking, take advantage of the golf carts to bring you to the other hotels at night.",1
150841:55,They will also drop you right off at your room if you ask.,1
150841:55,If you are traveling with younger kids you might want your rooms closer to the Dominica for the pool and beach activities.,1
150841:55,"Dont go crazy worrying about fancy evening wear, pack as little as possible and bring a clip for the hair.",1
94326:211,Some suggestions for those going for a long weekend trip .... Book the Beantown Trolley Tour.,1
94326:211,"Buy your tickets at the Wharf, not the concierge - they only have 1-day passes.",1
94326:211,"If you go to Salem, take the Trolley Tour.",1
94326:211,"If you are looking for a few nice dinner restaurants, we loved Legal Seafood , at the Wharf, and Plaza III Kansas City Steakhouse , at Fanueil Hall/South Market,.",1
94326:211,"Also, if you are going during baseball season, you will have to buy a Red Sox hat, T-shirt, etc.",1
94326:211,"Go to a game, too.",1
224948:355,"However, as I stated earlier, there are ample restaurants nearby from which you can choose.",1
224953:25,The location is perfect and I highly recommend the spa at the attached LA sports Club.,1
259330:682,I have to comment to anyone who is thinking of going to a Caribbean Resort...YOUR VACATION IS AS GOOD OR BAD AS YOUR EXPECTATION.,1
259330:682,If you think you are going to a American/Canadian 4-5 star resort you would be fooling yourself.,1
259330:682,"If you want Wolfgang Puck, you should stay home to get it.",1
259330:682,"But if you open your mind and realize you are experiencing how others live, you will love it.",1
542696:23,If you must stay here check out the room first before you hand over your credit card.,1
231519:74,"The rooms are very clean and are the perfect base while exploring the city, ask for a room at the front of the hotel as you get your own personal little balcony.",1
231519:74,The rooftop terrace offers a nice view of the city at sunset while enjoying a few evening drinks even in february I would definitely recommend this hotel and will have no hesitation in staying here again,1
209424:78,"The room was fine, but be forewarned, the neighboring Hilton is building a high-rise time share building right next to the Ilikai , Diamond Head side.",1
209424:78,I hope they update their website to advise of this.,1
209424:78,"If you receive this, please note: It is NOT APPLICABLE to Sarentos , roof-top-expensive-incredible views, Restaurant.",1
254575:157,So if you have trouble with stairs request a lower floor.,1
194308:45,"Dont expect a room with a view, and the hotel is on a fairly busy street, but they do have live jazz nightly.",1
194308:45,"If youre looking for a great place to stay on the happening Left Bank, this should be your choice - you wont regret it.",1
148807:71,"If you are not a diver, I would recommend you stay at the Copamarina because it is very nice and peaceful.",1
148807:71,"I guess the bottom line is that if you are a diver and plan to dive, I would not stay there.",1
148807:71,"However, if you are simply wanting a nice vacation in relaxing area then the Copamarina is a good choice.",1
237153:34,dont trust the staff here,1
237153:34,"So dont trust the staff, and be prepared for them to try it on and cause problems.",1
73787:20,The hotel is very dated and in need of a LOT of work.,1
73787:20,"The front desk staff could use a really good lesson on manners, professionalism, and genuine hospitality.",1
73787:20,They could use a little polishing up and professional conversational skills.,1
73787:20,The pool area is nice but the pool itself could use a good scrub down.,1
73787:20,"Could be a real gem since it is an older property/building and could get some of its original character back with some renovating, and better front desk staff.",1
218486:79,I would suggest anything in block 5 and up if you want less noise during those hours.,1
218486:79,The only seating times available are 6pm or 8pm but if you show up after 9:30pm at any of the restaurants they will just seat you.,1
218486:79,Brazilian - I would recommend this.,1
218486:79,"Things to bring ,aside from the obvious, - Antibacterial hand soap for your room, spray air freshner, an alarm clock ,or just a clock as they do no have them in any of the rooms,, Cortizone ,for heat rashes,, Benadryl ,to stop the itching from heat rash...lol,, face cloths ,we got these one day and never saw them again,.",1
81394:19,Avoid it.,1
229123:115,Brilliant Hotel - would recommend to anyone.,1
590144:48,The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal.,1
231526:72,Take rooms on side or rear.,1
231526:72,For the money I recommend this because of it position and has all the things needed.,1
231526:72,Note pedestrian area of the Rambla means in the evening taxis cannot approach and a walk may be required.,1
119650:38,You have to confirm your reservation,1
119650:38,"So if you make a reservation through internet, you have to call them and confirm it",1
209422:331,"Quiet for the most part, the room was adequate but could use some minor remodeling.",1
149395:423,Room serviceRoom service needs management.,1
224955:86,"The room itself was small, but no smaller than other large city hotels- if you want room to walk, Id suggest taking the F down to Ferry Plaza.",1
81114:11,"Our first room had a small kitchenette, the second did not -- here, a micro wave and a small fridge would have been welcome.",1
81114:11,"We would recommend the Laurel enthusiastically to our friends, unless they need to be downtown.",1
89101:67,"So, make sure you pay attention",1
583034:402,The only thing that would be better would be Oceanview.,1
583034:402,If you go over by the to the left of the resort by the shops there is less sea weed.,1
583034:402,If you do want to do any shopping like I said before to the left of the resort there is about 10 little shops.,1
583034:402,If you dont want anything just say no and they leave you alone.,1
583034:402,If they offer you something that is expensive just bargain with them and start walking out of the store and they will bargain with you.,1
583034:402,If you have any questions just e-mail me: Jillanson@excite.com,1
218524:1399,make sure you have plenty of $1 bills or 50/100 peso notes the really do deserve their tips.,1
197447:93,"Should you be driving: Reasonably well located, near to the outer peripheral road , just watch out which exit you take from Place de Nation...,.",1
197447:93,"Parking at the park house Picpus recommended , 10min walk away from hotel.",1
222957:44,"The hotel itself was interesting since it is round, the staff were polite but the hotel itself is understaffed.",1
222957:44,The price was ok but after staying- I would expect that the rates should be lowered.,1
222957:44,"Dont let the price fool you- its better to spend a few extra bucks for cleanliness, a walkable neighborhood without someone asking you for money or cigarettes or whatever they may be looking for.",1
191437:74,"I was here many times before and have seen all kind of rooms , make sure, you get an renovated one with Heavenly Bed,.",1
122703:34,"So if you want nightlife, you need to drive to it.",1
305371:4,"Business oriented, and highly recommeded for that purpose",1
305371:4,"Abit impersonal though, so if you are looking for a place remembering your name Conrad isnt the first place to look, on most important points it clearly delivers.",1
563485:96,But if you are on holiday there are sum negatives.,1
279809:82,If you are a drinker you will feel like you died and went to heaven; one can drink the day away with many choices and the $76.00 will feel like a bargain.,1
279809:82,"Take our advice, stay at home, save your money if this is where you plan to vacation.",1
98731:71,I would not recommend this if you want a good nights sleep.,1
218486:160,"For meat lovers, I would highly recommend the Brasilian.",1
218486:160,I think so - just keep an open mind and remember that the mentality is very different from what you may be used to.,1
228634:81,Much better option is to venture a little into the side streets.,1
80920:96,Id suggest staying at this hotel but requesting a room that faces the main street and/or stay on the top floor.,1
301648:24,If you have time take the morning trek with lunch.,1
100587:155,Dont miss the nearby Palace Kitchen Restaurant and the doughnut shop that are on 5th Avenue.,1
578371:1048,One thing you must ask for when checking in is a Majestic Passport.,1
618542:152,Do beware that a soda at the bar will cost you $3.56 before tip,1
